;origin;destination;distance;mode;duration;walktime;transfers;route
0;"{""lat"": 48.726033, ""lon"": 2.425854, ""zipcode"": 94480, ""commune"": ""ABLON SUR SEINE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.70967, ""lon"": 2.352844, ""zipcode"": 77240, ""commune"": ""CESSON"", ""departement"": ""SEINE-ET-MARNE""}";5.656818019976154;WALK,TRANSIT;2758.0;1138.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""C"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""399"", ""agencyName"": ""RATP""}]"
1;"{""lat"": 48.726033, ""lon"": 2.425854, ""zipcode"": 94480, ""commune"": ""ABLON SUR SEINE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.70967, ""lon"": 2.352844, ""zipcode"": 77240, ""commune"": ""CESSON"", ""departement"": ""SEINE-ET-MARNE""}";5.656818019976154;CAR;2463.2999999999997;0.0;0.0;[]
2;"{""lat"": 48.989001, ""lon"": 2.22563, ""zipcode"": 95130, ""commune"": ""FRANCONVILLE"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.963119, ""lon"": 2.562747, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";24.77237106518797;WALK,TRANSIT;6690.0;1156.0;3.0;"[{""mode"": ""BUS"", ""route"": ""95-29"", ""agencyName"": ""Valoise""}, {""mode"": ""RAIL"", ""route"": ""H"", ""agencyName"": ""TRAIN""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""619"", ""agencyName"": ""Seine-Saint-Denis""}]"
3;"{""lat"": 48.989001, ""lon"": 2.22563, ""zipcode"": 95130, ""commune"": ""FRANCONVILLE"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.963119, ""lon"": 2.562747, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";24.77237106518797;CAR;3026.0;0.0;0.0;[]
4;"{""lat"": 48.847823, ""lon"": 2.575918, ""zipcode"": 93160, ""commune"": ""NOISY LE GRAND"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.740238, ""lon"": 2.181706, ""zipcode"": 91400, ""commune"": ""ORSAY"", ""departement"": ""ESSONE""}";31.256527424591876;WALK,TRANSIT;6974.0;2268.0;2.0;"[{""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""9"", ""agencyName"": ""Cars D'Orsay""}]"
5;"{""lat"": 48.847823, ""lon"": 2.575918, ""zipcode"": 93160, ""commune"": ""NOISY LE GRAND"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.740238, ""lon"": 2.181706, ""zipcode"": 91400, ""commune"": ""ORSAY"", ""departement"": ""ESSONE""}";31.256527424591876;CAR;4505.0;0.0;0.0;[]
6;"{""lat"": 48.782309, ""lon"": 2.190531, ""zipcode"": 78140, ""commune"": ""VELIZY VILLACOUBLAY"", ""departement"": ""YVELINES""}";"{""lat"": 48.720788, ""lon"": 2.493697, ""zipcode"": 91330, ""commune"": ""YERRES"", ""departement"": ""ESSONE""}";23.255111509500953;WALK,TRANSIT;7165.0;1277.0;3.0;"[{""mode"": ""TRAM"", ""route"": ""Ch\u00e2tillon Montrouge - Gare de Viroflay Rive Droite"", ""agencyName"": ""TRAMWAY""}, {""mode"": ""RAIL"", ""route"": ""C"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""D"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""B"", ""agencyName"": ""STRAV""}]"
7;"{""lat"": 48.782309, ""lon"": 2.190531, ""zipcode"": 78140, ""commune"": ""VELIZY VILLACOUBLAY"", ""departement"": ""YVELINES""}";"{""lat"": 48.720788, ""lon"": 2.493697, ""zipcode"": 91330, ""commune"": ""YERRES"", ""departement"": ""ESSONE""}";23.255111509500953;CAR;4583.2;0.0;0.0;[]
8;"{""lat"": 48.759455, ""lon"": 2.420124, ""zipcode"": 94600, ""commune"": ""CHOISY LE ROI"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.723814, ""lon"": 2.56474, ""zipcode"": 94440, ""commune"": ""MAROLLES EN BRIE"", ""departement"": ""VAL-DE-MARNE""}";11.320768197923185;WALK,TRANSIT;3790.0;983.0;2.0;"[{""mode"": ""BUS"", ""route"": ""A"", ""agencyName"": ""VyBus""}, {""mode"": ""BUS"", ""route"": ""J2"", ""agencyName"": ""STRAV""}, {""mode"": ""BUS"", ""route"": ""21"", ""agencyName"": ""Arlequin""}]"
9;"{""lat"": 48.759455, ""lon"": 2.420124, ""zipcode"": 94600, ""commune"": ""CHOISY LE ROI"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.723814, ""lon"": 2.56474, ""zipcode"": 94440, ""commune"": ""MAROLLES EN BRIE"", ""departement"": ""VAL-DE-MARNE""}";11.320768197923185;CAR;3202.7999999999997;0.0;0.0;[]
10;"{""lat"": 48.971868, ""lon"": 2.255054, ""zipcode"": 95110, ""commune"": ""SANNOIS"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 49.010435, ""lon"": 2.316478, ""zipcode"": 95160, ""commune"": ""MONTMORENCY"", ""departement"": ""VAL-D'OISE""}";6.202943338262612;WALK,TRANSIT;3860.0;1803.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""J"", ""agencyName"": ""TRAIN""}, {""mode"": ""BUS"", ""route"": ""12"", ""agencyName"": ""Valmy""}]"
11;"{""lat"": 48.971868, ""lon"": 2.255054, ""zipcode"": 95110, ""commune"": ""SANNOIS"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 49.010435, ""lon"": 2.316478, ""zipcode"": 95160, ""commune"": ""MONTMORENCY"", ""departement"": ""VAL-D'OISE""}";6.202943338262612;CAR;3054.9;0.0;0.0;[]
12;"{""lat"": 48.811504, ""lon"": 2.567495, ""zipcode"": 94500, ""commune"": ""CHAMPIGNY SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.721548, ""lon"": 2.262959, ""zipcode"": 91300, ""commune"": ""MASSY"", ""departement"": ""ESSONE""}";24.45881828358841;WALK,TRANSIT;4959.0;548.0;2.0;"[{""mode"": ""BUS"", ""route"": ""206"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}]"
13;"{""lat"": 48.811504, ""lon"": 2.567495, ""zipcode"": 94500, ""commune"": ""CHAMPIGNY SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.721548, ""lon"": 2.262959, ""zipcode"": 91300, ""commune"": ""MASSY"", ""departement"": ""ESSONE""}";24.45881828358841;CAR;4423.4;0.0;0.0;[]
14;"{""lat"": 48.776249, ""lon"": 2.344133, ""zipcode"": 94240, ""commune"": ""L HAY LES ROSES"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.817064, ""lon"": 2.319864, ""zipcode"": 92120, ""commune"": ""MONTROUGE"", ""departement"": ""HAUTS-DE-SEINE""}";4.874146813545836;CAR;2048.5;0.0;0.0;[]
15;"{""lat"": 48.725384, ""lon"": 2.214582, ""zipcode"": 91120, ""commune"": ""PALAISEAU"", ""departement"": ""ESSONE""}";"{""lat"": 48.856099, ""lon"": 2.382235, ""zipcode"": 75011, ""commune"": ""PARIS 11"", ""departement"": ""PARIS""}";19.02894036826611;WALK,TRANSIT;4666.0;1186.0;3.0;"[{""mode"": ""BUS"", ""route"": ""1"", ""agencyName"": ""Cars D'Orsay""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""9"", ""agencyName"": ""METRO""}]"
16;"{""lat"": 48.725384, ""lon"": 2.214582, ""zipcode"": 91120, ""commune"": ""PALAISEAU"", ""departement"": ""ESSONE""}";"{""lat"": 48.856099, ""lon"": 2.382235, ""zipcode"": 75011, ""commune"": ""PARIS 11"", ""departement"": ""PARIS""}";19.02894036826611;CAR;3825.0;0.0;0.0;[]
17;"{""lat"": 48.988224, ""lon"": 2.373196, ""zipcode"": 95200, ""commune"": ""SARCELLES"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.78471, ""lon"": 2.401566, ""zipcode"": 94400, ""commune"": ""VITRY SUR SEINE"", ""departement"": ""VAL-DE-MARNE""}";22.724594436697288;WALK,TRANSIT;4620.0;1072.0;4.0;"[{""mode"": ""BUS"", ""route"": ""268"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""D"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""C"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""C"", ""agencyName"": ""RER""}]"
18;"{""lat"": 48.988224, ""lon"": 2.373196, ""zipcode"": 95200, ""commune"": ""SARCELLES"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.78471, ""lon"": 2.401566, ""zipcode"": 94400, ""commune"": ""VITRY SUR SEINE"", ""departement"": ""VAL-DE-MARNE""}";22.724594436697288;CAR;4683.5;0.0;0.0;[]
19;"{""lat"": 48.718128, ""lon"": 2.190497, ""zipcode"": 91400, ""commune"": ""ORSAY"", ""departement"": ""ESSONE""}";"{""lat"": 48.957981, ""lon"": 2.498394, ""zipcode"": 93600, ""commune"": ""AULNAY SOUS BOIS"", ""departement"": ""SEINE-SAINT-DENIS""}";34.91556034151083;WALK,TRANSIT;6801.0;1063.0;2.0;"[{""mode"": ""BUS"", ""route"": ""EXPRESS 91-10"", ""agencyName"": ""Albatrans""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""609"", ""agencyName"": ""Seine-Saint-Denis""}]"
